iter	RMSE
191	4.305706139
192	4.302114925
193	4.298793287
194	4.296097267
195	4.294030883
196	4.292160982
197	4.288131604
198	4.28414448
199	4.280757488
200	4.276725919
201	4.273190812
202	4.2703541
203	4.268297442
204	4.265076524
205	4.262354639
206	4.260137841
207	4.257355716
208	4.255571888
209	4.252716325
210	4.249536386
211	4.246969902
212	4.244346496
213	4.240983332
214	4.238777883
215	4.235487448
216	4.232735156
217	4.230518956
218	4.227039369
219	4.224928448
220	4.222190672
221	4.218616669
222	4.216286602
223	4.21450233
224	4.213005701
225	4.210909442
226	4.208230121
227	4.204735828
228	4.202619864
229	4.200583463
230	4.198052792
231	4.195499307
232	4.19254569
233	4.189769783
234	4.186797591
235	4.184922675
236	4.181583736
237	4.178554449
238	4.176039938
239	4.173771988
240	4.171497029
241	4.169153299
242	4.167534731
243	4.165107082
244	4.162247916
245	4.160155248
246	4.158662405
247	4.155894776
248	4.153745866
249	4.150244526
250	4.147487987
251	4.145884612
252	4.143957844
253	4.142036522
254	4.14024957
255	4.137799334
256	4.135954266
257	4.132919148
258	4.130402972
259	4.127929968
260	4.126749142
261	4.124575607
262	4.122387817
263	4.120410333
264	4.118170024
265	4.115561912
266	4.113599273
267	4.110275367
268	4.108164475
269	4.105339321
270	4.103382999
271	4.101160264
272	4.098901233
273	4.096973124
274	4.094726412
275	4.091959932
276	4.090420861
277	4.088198666
278	4.086001122
279	4.083504223
280	4.081906202
281	4.079609517
282	4.077688334
283	4.075380831
284	4.073271874
285	4.071639037
286	4.070033563
287	4.068186271
288	4.065937604
289	4.063311766
290	4.060855974
291	4.058649592
292	4.056249643
293	4.054447583
294	4.052683044
295	4.050198904
296	4.047264295
297	4.045020728
298	4.042713188
299	4.040842684
300	4.038480025
301	4.036528582
302	4.033960148
303	4.031590934
304	4.02941983
305	4.027189182
306	4.025295551
307	4.022901458
308	4.021208614
309	4.01943464
310	4.017649693
311	4.015464356
312	4.013046733
313	4.01086219
314	4.009284227
315	4.007231324
316	4.005274082
317	4.003475564
318	4.001508705
319	3.999735449
320	3.998363957
321	3.995901597
322	3.994114972
323	3.991157068
324	3.989728792
325	3.987787047
326	3.985837993
327	3.984627479
328	3.982854241
329	3.980179228
330	3.978283052
331	3.976831445
332	3.97500374
333	3.972749162
334	3.970590568
335	3.968535569
336	3.967189337
337	3.965667751
338	3.963393627
339	3.961228539
340	3.959656901
341	3.958226807
342	3.9560095
343	3.954083663
344	3.952015394
345	3.950253614
346	3.94824723
347	3.946195149
348	3.944781193
349	3.943253288
350	3.941505096
351	3.939361346
352	3.937314589
353	3.935627359
354	3.934071871
355	3.932278175
356	3.930570099
357	3.928702068
358	3.926784818
359	3.924759611
360	3.922689538
361	3.920937296
362	3.919013565
363	3.917286012
364	3.915839359
365	3.914691843
366	3.912800878
367	3.91133109
368	3.909572487
369	3.907540377
370	3.905738813
371	3.904081728
372	3.902686703
373	3.901201802
374	3.899394383
375	3.897964911
376	3.896350192
377	3.895059037
378	3.893094888
379	3.891926311
380	3.890359132
381	3.888868798
382	3.886673391
383	3.88466662
384	3.881975416
385	3.880150344
386	3.878851056
387	3.876889687
388	3.875004456
389	3.873582514
390	3.872157062
391	3.870579032
392	3.869306757
393	3.867581506
394	3.86616699
395	3.864648534
396	3.86306281
397	3.861142725
398	3.858904999
399	3.857867161
400	3.855953099
401	3.854749486
402	3.853353408
403	3.851177901
404	3.84970573
405	3.847885588
406	3.846645258
407	3.845160106
408	3.843228355
409	3.842007599
410	3.840620868
411	3.839270728
412	3.838170262
413	3.836008792
414	3.83456484
415	3.832808957
416	3.831497673
417	3.829613036
418	3.828024866
419	3.826777046
420	3.825538282
421	3.824013504
422	3.822516894
423	3.821087952
424	3.819748005
425	3.817839906
426	3.816645896
427	3.815039018
428	3.813248175
429	3.812042118
430	3.810897713
431	3.80917335
432	3.807732331
433	3.806532781
434	3.804837957
435	3.803577758
436	3.802237588
437	3.801178338
438	3.799385218
439	3.797493558
440	3.795609904
441	3.79342828
442	3.792000962
443	3.79069908
444	3.789589767
445	3.788245777
446	3.787111277
447	3.785433219
448	3.784084192
449	3.782891891
450	3.781783474
451	3.78064684
452	3.779456289
453	3.77813133
454	3.776378281
455	3.77492795
456	3.773609121
457	3.772069159
458	3.77082904
459	3.769765899
460	3.768541105
461	3.767207604
462	3.765809724
463	3.764597564
464	3.76331207
465	3.761966471
466	3.760890411
467	3.759608804
468	3.758265231
469	3.756859779
470	3.755575669
471	3.754149643
472	3.752768944
473	3.751110239
474	3.750132835
475	3.748941552
476	3.74758978
477	3.746268091
478	3.744773419
479	3.743803479
480	3.742859213
481	3.741016555
482	3.739913922
483	3.738590348
484	3.737107132
485	3.735362711
486	3.733850331
487	3.7328355
488	3.73164287
489	3.730604836
490	3.729604432
491	3.72785113
492	3.726460629
493	3.725212144
494	3.724145364
495	3.722986829
496	3.721967248
497	3.720905656
498	3.719716453
499	3.718481097
500	3.717135062
501	3.715476289
502	3.714244032
503	3.713125997
504	3.712023335
505	3.711044163
506	3.709804682
507	3.708664142
508	3.70766345
509	3.706651407
510	3.705091784
511	3.70372173
512	3.70278014
513	3.701608751
514	3.700628692
515	3.699690288
516	3.698568873
517	3.697303811
518	3.696255294
519	3.694962756
520	3.694055836
521	3.692733291
522	3.691870696
523	3.690379493
524	3.689284513
525	3.687826271
526	3.686715223
527	3.685099376
528	3.684245472
529	3.68334335
530	3.681961113
531	3.680264348
532	3.679445611
533	3.677797402
534	3.6764645
535	3.674919278
536	3.674100391
537	3.672872111
538	3.671396287
539	3.670248447
540	3.668743582
541	3.667530474
542	3.666176456
543	3.665244056
544	3.664155019
545	3.663225612
546	3.661960042
547	3.660817551
548	3.659931651
549	3.6588271
550	3.657595009
551	3.656032765
552	3.65457766
553	3.653473735
554	3.651714871
555	3.650664401
556	3.649668933
557	3.648853626
558	3.647840124
559	3.646586701
560	3.645475196
561	3.644353758
562	3.643371804
563	3.64239889
564	3.641590228
565	3.64022818
566	3.639163424
567	3.638274426
568	3.63705756
569	3.635647648
570	3.634575739
571	3.633548747
572	3.632305429
573	3.6315082
574	3.630757922
575	3.629789138
576	3.62857442
577	3.627428014
578	3.626617456
579	3.625643853
580	3.624612104
581	3.62343228
582	3.621942501
583	3.62064687
584	3.619292313
585	3.617959011
586	3.616973962
587	3.615966537
588	3.61502418
589	3.614170562
590	3.61307741
591	3.611738031
592	3.610752799
593	3.610002169
594	3.609276881
595	3.607912732
596	3.607020736
597	3.60602366
598	3.605031264
599	3.603856095
600	3.602748133
601	3.601312041
602	3.60005768
603	3.598967326
604	3.597970082
605	3.596363221
606	3.595003746
607	3.593892894
608	3.59285544
609	3.592035449
610	3.591059746
611	3.590174285
612	3.589387905
613	3.588236248
614	3.587496867
615	3.586599267
616	3.58604228
617	3.584781992
618	3.583261569
619	3.581907109
620	3.5808878
621	3.579983739
622	3.57890534
623	3.578040398
624	3.57658267
625	3.575408129
626	3.574344913
627	3.573289132
628	3.572333492
629	3.571016834
630	3.569460124
631	3.568608974
632	3.567634935
633	3.56629213
634	3.565232107
635	3.564298874
636	3.563069198
637	3.562140108
638	3.561191661
639	3.559832814
640	3.558487798
641	3.557434339
642	3.556618298
643	3.555868232
644	3.554779721
645	3.553865808
646	3.552872351
647	3.552196777
648	3.551585309
649	3.550462762
650	3.549496058
651	3.548482558
652	3.547715427
653	3.546604309
654	3.545594869
655	3.544468776
656	3.543442581
657	3.542065244
658	3.540965835
659	3.540202578
660	3.5393362
661	3.538806814
662	3.537853638
663	3.537001274
664	3.535906993
665	3.535105622
666	3.533574493
667	3.532847866
668	3.531952937
669	3.531306445
670	3.530166916
671	3.529011379
672	3.528351174
673	3.526978634
674	3.526173844
675	3.525294136
676	3.52432732
677	3.523457935
678	3.522512514
679	3.52156826
680	3.52054716
681	3.519249459
682	3.518251548
683	3.517580039
684	3.516501426
685	3.515427726
686	3.514545724
687	3.513500867
688	3.512498442
689	3.511304628
690	3.510319372
691	3.50966565
692	3.508630953
693	3.50746375
694	3.506579816
695	3.505533057
696	3.504745652
697	3.503717959
698	3.502800318
699	3.501885198
700	3.501070218
701	3.499944419
702	3.499104653
703	3.498307182
704	3.497311718
705	3.496407709
706	3.495768278
707	3.495041911
708	3.494367461
709	3.493547245
710	3.492620219
711	3.491600685
712	3.490310879
713	3.48954348
714	3.488518475
715	3.487976252
716	3.486877328
717	3.485896145
718	3.485199288
719	3.484364493
720	3.483269266
721	3.481664664
722	3.480551631
723	3.479803659
724	3.479129112
725	3.478149999
726	3.477440643
727	3.476466563
728	3.475037481
729	3.47411244
730	3.473553013
731	3.472438311
732	3.471706225
733	3.471156292
734	3.470164644
735	3.469387667
736	3.468445418
737	3.467665534
738	3.467147391
739	3.466440917
740	3.465600241
741	3.464663353
742	3.463998122
743	3.462987027
744	3.462026588
745	3.461061656
746	3.460252737
747	3.459361405
748	3.458477135
749	3.457569866
750	3.456289702
751	3.455555458
752	3.454728786
753	3.453546729
754	3.452716689
755	3.451719442
756	3.450909925
757	3.450268629
758	3.449414747
759	3.448495096
760	3.447588965
761	3.446692768
762	3.445932312
763	3.445010076
764	3.444145215
765	3.443522182
766	3.443132984
767	3.442057828
768	3.441369142
769	3.440485526
770	3.439518072
771	3.438160923
772	3.437375957
773	3.436294734
774	3.434900018
775	3.433997257
776	3.432980763
777	3.432398599
778	3.431702734
779	3.430885094
780	3.430067188
781	3.429260945
782	3.428348587
783	3.42745822
784	3.426630254
785	3.425554276
786	3.424685533
787	3.423841024
788	3.4232459
789	3.422454696
790	3.421340062
791	3.420440022
792	3.419463838
793	3.418487901
794	3.417627634
795	3.417032928
796	3.416053378
797	3.415124556
798	3.414199177
799	3.413540017
